title,content,url,cnt,source,keyword,image,createdAt,priority
2019 카카오 블라인드 공채 2차 오프라인 코딩 테스트 문제 해설,"지난 10월 6일(토) 2019 블라인드 공채 오프라인 2차 코딩테스트가 진행되었습니다. 작년에는 8시간 동안 온라인으로 진행한 것과는 달리 오프라인으로 5시간 동안 치러졌는데요, 어떤 의도로 출제하였는지 살펴보겠습니다.작년 문제 출제 의도를 기억하시는지요?작년 문제에는 매우 많은 장치가 숨겨져 있었으나 정작 요구사항을 그대로 구현하기만 해도 합격선인 8만...",http://tech.kakao.com/2018/10/23/kakao-blind-recruitment-round-2/,0,kakao,"jquery,android,json,react,javascript,frontend,xml,backend",https://t1.kakaocdn.net/welcome/2019/round2/diagram.jpeg,2018-10-23,0
if kakao 2018 동영상을 공개합니다.,"지난 9월 4일, 코엑스 그랜드볼룸에서 카카오의 개발자 콘퍼런스인 if kakao 2018이 성황리에 마쳤습니다.카카오 이름을 건 첫 번째 개발자 콘퍼런스인 if kakao 2018은 인공지능, 메신저, 택시, 결제/송금, 검색 등 수많은 영역에서 쌓은 카카오의 기술과 노하우를 외부에 공유하고 소통하는 자리였구요.신정환 CTO와 김병학 AI Lab 총괄 부...",http://tech.kakao.com/2018/10/17/if-kakao-dev-2018/,0,kakao,,http://tech.kakao.com/files/if-kakaotv.png,2018-10-17,0
2019 카카오 신입 공채 1차 코딩 테스트 문제 해설,"작년에 이어 올해도 블라인드 전형으로 카카오 개발 신입 공채가 시작되었습니다!그 첫 번째 관문으로 1차 온라인 코딩 테스트가 지난 9월 15일(토) 오후 2시부터 7시까지 5시간 동안 치러졌는데요.지원자분들 만큼이나 준비위원들도 테스트가 문제없이, 공정하게 치러질 수 있도록 많은 준비를 했고 두근 거리는 마음으로 끝까지 온라인 테스트를 모니터링했답니다.문제...",http://tech.kakao.com/2018/09/21/kakao-blind-recruitment-for2019-round-1/,0,kakao,,http://t1.kakaocdn.net/welcome/2019/round1/failure_rate.jpg,2018-09-21,0
코드 페스티벌 2018 본선 이야기,"지난 8월 25일 토요일, 카카오 코드 페스티벌 오프라인 본선이 진행됐습니다. 예선에서의 엄청난 경쟁률을 뚫고 당당히 본선에 진출한 64명의 실력자들이 함께 했는데요. 작년과는 다르게 카카오 판교 오피스에서 행사를 개최하여 더 뜻깊은 자리가 되었던 것 같습니다.▶ 행사 후기가 궁금하시다면?그럼 본선에 출제되었던 문제와 해법을 알아보도록 하겠습니다.서로 다른...",http://tech.kakao.com/2018/09/12/code-festival-2018-round-2/,0,kakao,"typescript,database,bitcoin,python,blockchain,frontend,sql,backend",,2018-09-12,0
2019 카카오 블라인드 신입 개발자 공채가 시작됩니다!,카카오는 여전히 같은 생각입니다.  개발자가 자신의 가치를 증명할 수 있는 것은 자소서나 스펙이 아니라 코드라고 말이죠!올해는 카카오를 포함하여 5개 기업이 함께 합니다.  지금 바로 도전하세요! new developer coming!▶ 접수 기간 : 8월 27일 (월) 15:00 ~ 9월 11일 (화) 23:59  ▶ 지원 접수 : www.welcomek...,http://tech.kakao.com/2018/08/28/employeement-2019/,0,kakao,,http://tech.kakao.com/files/recruit-2019.jpeg,2018-08-28,0
코드 페스티벌 2018 예선전 이야기,"작년에 이어 두 번째로 진행된 카카오 코드 페스티벌, 온라인 예선이 지난 8월 4일 토요일에 진행됐습니다. 작년보다 더욱 많은 6,000여 명의 참가자들이 6시간 동안 뜨거운 열정을 발휘했는데요, 특히 실시간으로 바뀌는 스코어보드를 보면서 치열한 접전을 느낄 수 있었습니다. 여기 예선 문제와 해설, 그리고 결과를 공유합니다. 참가해주신 모든 모든 분들께 감...",http://tech.kakao.com/2018/08/09/code-festival-2018-round-1/,0,kakao,,,2018-08-09,0
MySQL Ascending index vs Descending index,"이 설명에서는 인덱스의 정렬 순서와 데이터 읽기 순서 등 방향에 대한 단어들이 혼재하면서, 여러 가지 혼란을 초래하기 쉬운 설명들이 있을 것으로 보인다. 그래서 우선 표준 용어는 아니지만, 나름대로 몇 개 단어들에 대해서 개념을 정립하고 그 단어를 번역 없이 영어로 그대로 표기하도록 하겠다.MySQL 4.x 버전부터 Feature Request로 등록되어 ...",http://tech.kakao.com/2018/06/19/AscendingAndDescendingIndex/,0,kakao,"android,java,javascript,spring,php,docker",http://tech.kakao.com/files/Terms.png,2018-06-19,0
"사용하면서 알게 된 Reactor, 예제 코드로 살펴보기","Reactor는 Pivotal의 오픈소스 프로젝트로, JVM 위에서 동작하는 논블럭킹 애플리케이션을 만들기 위한 리액티브 라이브러리입니다. Reactor는 RxJava 2와 함께 Reactive Stream의 구현체이기도 하고, Spring Framework 5부터 리액티브 프로그래밍을 위해 지원되는 라이브러리입니다. RxJava에 익숙한 필자가 React...",http://tech.kakao.com/2018/05/29/reactor-programming/,0,kakao,"mysql,kotlin,android,mongodb,database,java,rxandroid,javascript,scala,spring,docker,backend",https://raw.githubusercontent.com/reactor/reactor-core/v3.1.3.RELEASE/src/docs/marble/zip.png,2018-05-29,0
NumPy와 C++ Extensions의 성능 비교,"파이썬은 놀라운 생산성을 발휘하는 언어입니다. 하지만 성능 문제는 늘 발목을 잡게 합니다. 이 문제를 극복하는 방법으로 일반적으로 C Extension을 작성하는 방법이 권장되며, 여기서는 표준 편차를 구하는 함수를 작성하여 순수 파이썬의 성능과 NumPy, 각종 C++ Extensions의 성능을 비교해 보도록 합니다.표준 편차를 구하는 파이썬 코드는 아...",http://tech.kakao.com/2018/05/15/python-numpy-extensions/,0,kakao,"webpack,mongodb,database,css,react,javascript,frontend",https://user-images.githubusercontent.com/1250095/39965454-da4df776-56d3-11e8-9205-ca02d1d18726.png,2018-05-15,0
카카오 신입 공채 3차 코딩 테스트 문제 해설,"블라인드 채용으로 관심을 모은 카카오 신입 공채의 세 번째 테스트가 지난 10월 29일(일), 오후 2시부터 6시까지 네 시간에 걸쳐 오프라인으로 치러졌습니다. 두 차례의 온라인 테스트를 통과한 지원자들이 한 자리에 모여 다시 한번 실력을 검증하는 자리를 가졌습니다.오프라인 코딩 테스트는 온라인 코딩 테스트와는 사뭇 달랐습니다. 1차와 2차 코딩 테스트에서...",http://tech.kakao.com/2017/11/14/kakao-blind-recruitment-round-3/,0,kakao,"material,python3,android,java,python,frontend",,2017-11-14,0
카카오 신입 공채 2차 코딩 테스트 문제 해설,"지난 10월 14일(토) 오후 2시부터 10시까지 8시간 동안 온라인 2차 코딩 테스트가 있었습니다. 1차 코딩 테스트와도 사뭇 다른 형식이라 신선했다는 의견도 있고, 당황한 지원자도 있었을 텐데요. 2차 문제에는 어떤 의도가 숨어있는지 살펴보겠습니다.1차 코딩 테스트는 어려운 알고리즘 문제가 아닌 자료구조, 알고리즘 등의 전산학 기초에 대해 충분히 학습하...",http://tech.kakao.com/2017/10/24/kakao-blind-recruitment-round-2/,0,kakao,"jquery,angular,javascript,react,frontend,xml,backend",http://t1.kakaocdn.net/welcome2018/round2_batch.png,2017-10-24,0
분산 웹 캐시 (Wcache)의 개선과정 - Part 2,"Part 1: 분산 웹 캐시에서는 카카오의 트래픽을 처리하고 있는 Wcache에 대한 간략한 소개를 하였습니다. 이전 버전의 Wcache는 기본적으로 준수한 응답속도를 보이고 있었지만, metadata를 집중된 DB에 저장하는 방식 및 기타 구조상의 문제로 인한 성능 안정성 문제, 그리고 기능상의 문제들이 잠재되어 있었습니다. 본 포스트에서는 이전 버전의 ...",http://tech.kakao.com/2017/10/23/wcache-2/,0,kakao,"android,java,json,python,backend",http://tech.kakao.com/files/wcache-storage-before.png,2017-10-23,0
분산 웹 캐시 (Wcache)의 개선과정 - Part 1,"웹 서비스의 규모가 커지고 이용자의 수가 늘어날수록 서비스 제공자는 scalability 이슈에 직면합니다.  그중에서도 실제 ‘로딩 속도’의 차이를 느끼게 해 주고 트래픽의 대부분을 차지하는 정적 컨텐츠의 신속한 제공은 서비스 품질을 좌우하는 중요한 요소가 되곤 합니다.이런 수많은 컨텐츠들(Javascript, css, image 등)을 빠르게 제공하기 ...",http://tech.kakao.com/2017/10/23/wcache-1/,0,kakao,"angular,javascript,react,python,frontend,php,docker",http://tech.kakao.com/files/static-contents.png,2017-10-23,0
