title,content,url,cnt,source,keyword,image,createdAt,priority
Spinning Up in Deep RL,"We’re releasing Spinning Up in Deep RL, an educational resource designed to let anyone learn to become a skilled practitioner in deep reinforcement learning. Spinning Up consists of crystal-clear exam...",https://blog.openai.com/spinning-up-in-deep-rl/,0,openai,,https://blog.openai.com/content/images/2018/11/spinning-up-in-rl-1.png,2018-11-08,0
Learning Concepts with Energy Functions,"Weve developed an energy-based model that can quickly learn to identify and generate instances of concepts, such as near, above, between, closest, and furthest, expressed as sets of 2d points. Our mod...",https://blog.openai.com/learning-concepts-with-energy-functions/,0,openai,,https://blog.openai.com/content/images/2018/11/SpatialRegionV4.gif,2018-11-07,0
Reinforcement Learning with Prediction-Based Rewards,"We’ve developed Random Network Distillation (RND), a prediction-based method for encouraging reinforcement learning agents to explore their environments through curiosity, which for the first time1 ex...",https://blog.openai.com/reinforcement-learning-with-prediction-based-rewards/,0,openai,,,2018-10-31,0
Learning Complex Goals with Iterated Amplification,"We’re proposing an AI safety technique called iterated amplification that lets us specify complicated behaviors and goals that are beyond human scale, by demonstrating how to decompose a task into sim...",https://blog.openai.com/amplifying-ai-training/,0,openai,,https://blog.openai.com/content/images/2018/09/table1a@2x.png,2018-10-22,0
OpenAI 2019 Winter Scholars Application Open,"We are now accepting applications for our second cohort of OpenAI Scholars, a program where we provide 6-10 stipends and mentorship to individuals from underrepresented groups to study deep learning f...",https://blog.openai.com/openai-scholars-2019/,0,openai,"android,java,python",https://blog.openai.com/content/images/2018/10/IMG_7966.jpg,2018-10-11,0
OpenAI 2019 Winter Fellows & Summer Interns,We are now accepting applications for OpenAI Fellows and Interns for 2019. These programs provide an opportunity for people to work at OpenAI who are currently studying AI or wanting to transition fro...,https://blog.openai.com/openai-fellows-interns-2019/,0,openai,"javascript,css,react,jquery,frontend,animation",https://blog.openai.com/content/images/2018/10/Image-from-iOS.jpg,2018-10-09,0
OpenAI Scholars Class of 18: Final Projects,"Our first cohort of OpenAI Scholars has now completed the program. Over the past three months, weve seen how quickly experienced software developers can become machine learning practitioners. All eigh...",https://blog.openai.com/openai-scholars-2018-final-projects/,0,openai,"javascript,vue,react,css,android,jquery,frontend,angular",https://blog.openai.com/content/images/2018/07/jwPdLBCP_400x400.jpg,2018-09-10,0
The International 2018: Results,"OpenAI Five lost two games against top Dota 2 players at The International in Vancouver this week, maintaining a good chance of winning for the first 20-35 minutes of both games. In contrast to our Be...",https://blog.openai.com/the-international-2018-results/,0,openai,,https://blog.openai.com/content/images/2018/08/30341305538_39d518b3f4_z.jpg,2018-08-24,0
Learning Dexterity,"Weve trained a human-like robot hand to manipulate physical objects with unprecedented dexterity. Our system, called Dactyl, is trained entirely in simulation and transfers its knowledge to reality, a...",https://blog.openai.com/learning-dexterity/,0,openai,"matlab,python",https://blog.openai.com/content/images/2018/07/simulated-camera-grid.png,2018-07-30,0
OpenAI Five Benchmark: Results,"Yesterday, OpenAI Five won a best-of-three against a team of 99.95th percentile Dota players: Blitz, Cap, Fogged, Merlini, and MoonMeander — four of whom have played Dota professionally — in front of ...",https://blog.openai.com/openai-five-benchmark-results/,0,openai,,https://blog.openai.com/content/images/2018/08/DSC_7309-2.jpg,2018-08-06,0
OpenAI Scholars Class of 18,"Our first class of OpenAI Scholars is underway, and you can now follow along as this group of experienced software developers becomes machine learning practitioners. We had over 700 applicants for the...",https://blog.openai.com/openai-scholars-class-2018/,0,openai,"android,java,python",https://blog.openai.com/content/images/2018/07/jwPdLBCP_400x400.jpg,2018-07-25,0
OpenAI Five Benchmark,"The OpenAI Five Benchmark match is now over!      Watch the recording | See the resultsWeve removed the most significant restrictions on OpenAI Fives gameplay — namely, wards, Roshan, and mirror match...",https://blog.openai.com/openai-five-benchmark/,0,openai,"docker,python",https://blog.openai.com/content/images/2018/07/benchmark.jpg,2018-07-18,0
Glow: Better Reversible Generative Models,"We introduce Glow, a reversible generative model which uses invertible 1x1 convolutions. It extends previous work on reversible generative models and simplifies the architecture. Our model can generat...",https://blog.openai.com/glow/,0,openai,,https://blog.openai.com/content/images/2018/07/affine-coupling@2x-2.png,2018-07-09,0
