title,content,url,cnt,source,keyword,image,createdAt,priority
Highlights from Slack’s August Mobile Meetup,"Slack believes in making our users’ working lives simpler, more pleasant, and more productive. This is true whether they are at their desk or on the go, and as a result our mobile experience must be f...",https://slack.engineering/highlights-from-slacks-august-mobile-meetup-405293bdf521?source=---------0,0,slack,,https://cdn-images-1.medium.com/max/1600/1*fTnZl5ZicW4g-zXdGzPOMw.jpeg,2018-09-11,0
Re-architecting Slack’s Workspace Preferences: How to Move to an EAV Model to Support Scalability,"Scaling is hard. Design decisions that initially seemed reasonable break down with little warning, and suddenly even the simplest parts of your data model need to go through a complex re-architecture....",https://slack.engineering/re-architecting-slacks-workspace-preferences-how-to-move-to-an-eav-model-to-support-scalability-d480a7c5c655?source=---------1,0,slack,"javascript,backend,xml,react,java,android,jquery,frontend",,2018-08-09,0
Unified Cross-Platform Performance Metrics,"With the fast pace of life today, people expect information to be available to them at the speed of light, regardless of which device or apps they’re using. Through the power of social media, their ex...",https://slack.engineering/unified-cross-platform-performance-metrics-adeb371a8814?source=---------2,0,slack,,https://cdn-images-1.medium.com/max/2000/1*zxqXoiRyIEeXhWSU5zFnnQ.jpeg,2018-07-31,0
Streamlining Your Workflow: Debugging for HHVM,"Digging through a large codebase to locate a bug can feel incredibly overwhelming, especially for a junior developer. While some might argue that well-placed print statements are just as efficient, ge...",https://slack.engineering/streamlining-your-workflow-debugging-for-hhvm-effd7db3c72d?source=---------3,0,slack,"css,frontend,html,php,python",,2018-07-25,0
Ways we make the Slack iOS app accessible,Written by Erica Engle and Kaya ThomasEver needed to squint to see some text? How about feeling unsure where a button is because it’s indistinguishable from the background color? Accessible technology...,https://slack.engineering/ways-we-make-the-slack-ios-app-accessible-18039d3fdb34?source=---------4,0,slack,"javascript,css,react,jquery,frontend",https://cdn-images-1.medium.com/max/2000/1*9q9p_pdkvGXR-PO2n4_RYA.jpeg,2018-06-19,0
Moving Fast and Securing Things,"For development teams, process can often be antithetical to speed. Ease of deployment and security tend to have an inverse relationship, with some resentment for the security team occasionally mixed i...",https://slack.engineering/moving-fast-and-securing-things-540e6c5ae58a?source=---------5,0,slack,,,2018-04-26,0
Interop’s Labyrinth: Sharing Code Between Web & Electron Apps,"While it’s no secret that the cross-platform Slack Desktop app is built on Electron, it might be slightly less well known that it’s a hybrid app built around our web app (slack.com). This is one of El...",https://slack.engineering/interops-labyrinth-sharing-code-between-web-electron-apps-f9474d62eccc?source=---------6,0,slack,"javascript,frontend,angular,react",https://cdn-images-1.medium.com/max/1600/1*dIBZ_QL1NfPrzRZOBneNoA.jpeg,2018-01-31,0
Evolving the Slack API,"You know how to design a good API, but how do you evolve that API when it’s time to make changes? We’ve faced this with each major feature release here at Slack over the past few years, most recently ...",https://slack.engineering/evolving-the-slack-api-8a329f0a5645?source=---------7,0,slack,"javascript,react,database,frontend,mongodb,angular",,2018-01-25,0
Keep webpack Fast: A Field Guide for Better Build Performance,"webpack is a brilliant tool for bundling frontend assets. When things start to slow down, though, its batteries-included nature and the ocean of third-party tooling can make it difficult to optimize. ...",https://slack.engineering/keep-webpack-fast-a-field-guide-for-better-build-performance-f56a5995e8f1?source=---------8,0,slack,"frontend,react",https://cdn-images-1.medium.com/max/1600/1*n7SFvwKvpLsW0ZcEDbgBtg.jpeg,2018-01-17,0
"Android UI Automation: Part 2, Making It Easy","by Kevin Lai and Valera ZakharovIn Part 1 we introduced the targeted and hermetic UI test approach that helped Slack Android engineers write hundreds of stable UI tests. However, as our UI test suite ...",https://slack.engineering/android-ui-automation-part-2-making-it-easy-57335c7379cc?source=---------9,0,slack,"frontend,html",,2018-01-10,0
