title,content,url,cnt,source,keyword,image,createdAt,priority
Serverless microservice architecture에서의 inter-communication caching,"빙글은 8월에 진행된 서비스 리뉴얼과 함께, 기존의 Ruby on rails 기반의 monolithic 앱에서 구현되어 있던 서비스 로직을 상당부분 Serverless 기반의 microservice architecture로 옮겼다.그걸 하면서도 정말 많은걸 배웠고, 그 과정에서 필요했던 다양한 도구들 (Lambda용 http api framework라던가,...",https://medium.com/vingle-tech-blog/serverless-microservice-architecture%EC%97%90%EC%84%9C%EC%9D%98-inter-communication-caching-80a43c979121?source=collection_archive---------0---------------------,0,vingle,"ruby,python,serverless,docker,backend",https://cdn-images-1.medium.com/max/1600/1*Rbig_mAxRPusTVYEGKF61w.png,2017-10-22,0
코드 밖에서 디버깅하기,"보통 개발자들이 가장 두려워하는 상황은 문제도, 에러도 없이 예상하지 못 한 버그나 결과가 나올 때라고 생각합니다.이번에 겪은 일도 위와 같았습니다. 분명히 문제는 계속해서 발생하는데, 어디를 찾아봐도 에러나 문제가 될만한 부분을 찾기가 어려웠습니다.이를 디버깅하면서얻은 교훈은 코드 밖에서 발생하는 버그도 존재한다는 것이었습니다. (엄밀히 말하면 잘못된 코...",https://medium.com/vingle-tech-blog/%EC%BD%94%EB%93%9C-%EB%B0%96%EC%97%90%EC%84%9C-%EB%94%94%EB%B2%84%EA%B9%85%ED%95%98%EA%B8%B0-c05f034193e?source=collection_archive---------1---------------------,0,vingle,,https://cdn-images-1.medium.com/max/1600/1*43gAdsBTaGzE_2Eb6_HDGw.jpeg,2017-03-30,0
Feature Flag: Roll Out & Roll Back without Deployment,"Also known as feature toggle, feature switch, feature flipper, conditional feature....",https://medium.com/vingle-tech-blog/feature-flag-review-roll-out-roll-back-without-deployment-4d2a95a0d7a7?source=collection_archive---------2---------------------,0,vingle,,,2017-02-10,0
CI&CD with FrontEnd developer,안녕하세요.빙글에서 프론트엔드 개발을 주로 하고 있는 신미르입니다.이번 테크톡은 크게 2가지 주제를 다루고 있습니다.서로 분야가 다른 분야를 발표해서 발표는 횡설수설하는 면이 있어서 부끄럽네요.아래와 같이 두 가지 주제로 나누어진다고 생각하고 봐주시면 감사하겠습니다.혹시 Serverless + ReactJS + Redux + Typescript 세팅으로 U...,https://medium.com/vingle-tech-blog/ci-cd-with-frontend-developer-c8aed9ca06c0?source=collection_archive---------3---------------------,0,vingle,"typescript,webpack,mongodb,database,css,angular,react,javascript,frontend,nodejs,docker,backend",,2017-02-13,0
"Serverless와 기술도입, Backend Application의 미래","빙글의 Backend Application을 Monolithic EC2 + Ruby On Rails에서 Microservice Architecture 기반의 AWS Lambda + Node.JS 로 옮겼다는 이야기를 몇 번인가 발표하고 난 뒤로, 외부 사람들을 만나서 System Migration에 대한 이야기를 하다보면 언제나 비슷한 질문을 듣게됩니다.(...",https://medium.com/vingle-tech-blog/serverless%EC%99%80-%EA%B8%B0%EC%88%A0%EB%8F%84%EC%9E%85-backend-application%EC%9D%98-%EB%AF%B8%EB%9E%98-8f114a8b00d5?source=collection_archive---------0---------------------,0,vingle,"ruby,mongodb,database,angular,react,javascript,python,frontend,docker",https://cdn-images-1.medium.com/max/800/1*U5GKZRrkQrvNxp9FQU4rCQ.png,2018-07-18,0
GIF 사용을 멈춰주세요!,"요즘에는 통신망의 발달과 디바이스 성능의 개선으로 인해 어딜 가나 다양한 형식의 미디어를 즐길 수 있게 되었습니다.그 중 GIF는 우리가 흔히 볼 수 있는 이미지 포맷 중 하나인데, 보통 “움직이는 짤방 혹은 줄여서 “짤방 으로 표현하기도 합니다. 요즘에는 어딜 가나 GIF를 볼 수 있고, 아예 모바일 디바이스의 키보드에서 GIF를 바로 첨부할 수 있도록 ...",https://medium.com/vingle-tech-blog/stop-using-gif-as-animation-3c6d223fd35a?source=collection_archive---------1---------------------,0,vingle,"cuda,machinelearning,python",,2018-08-23,0
Serverless CloudFront Log Querying with Athena and Table Partition,"CloudFront has this nice raw-level access log. Not like other CDNs, this gives you truly interactive and customizable insights about your CDN. kind of obviously, most of otherCDN vendors that supports...",https://medium.com/vingle-tech-blog/serverless-cloudfront-log-querying-with-athena-and-table-partition-c18b6e6f9eb4?source=collection_archive---------2---------------------,0,vingle,"python,docker",https://cdn-images-1.medium.com/max/1600/1*gSDZVzwKdR4Okf6xOb3rgQ.png,2018-02-23,0
CloudFront Log를 Athena로 쿼리하기,"CloudFront에는 S3에 law-level access-log를 쌓아주는 멋진 기능이 있습니다. 사실 아직까지도 상당수의 CDN Vendor들은 이 기능을 제대로 지원하고 있지 않고, 흥미롭게도(사실 어느정도는 예측 가능하게도) 심지어 지원하는 vendor들중 일부는 AWS S3를 스토리지로 이용하고, 유저들에게 S3 bucket을 주는 식으로 구현합...",https://medium.com/vingle-tech-blog/cloudfront-log%EB%A5%BC-athena%EB%A1%9C-%EC%BF%BC%EB%A6%AC%ED%95%98%EA%B8%B0-d38a5ea8c3e?source=collection_archive---------3---------------------,0,vingle,"android,java,json,python,scala,docker,backend",https://cdn-images-1.medium.com/max/1600/1*KSOUGsfQWGPuRCBVnoDPdA.png,2018-02-28,0
Do you know DynamoDB Stream,"안녕하세요. 빙글에서 백엔드 개발을 맡고 있는 권세중입니다.요즘 많은 분들이 Serverless에 입문함과 동시에 DynamoDB를 접하게 되는데요. DynamoDB의 가장 신기하고 멋진 기능이지만, 잘 다뤄지지 않는 기능이 하나 있으니, 바로 DynamoDB Stream입니다. 아마 많은 분들이 이런 기능이 있다는 것도 모르고 스쳐 지나가지 않았을까 싶네...",https://medium.com/vingle-tech-blog/do-you-know-dynamodb-stream-14b284bf38d5?source=collection_archive---------4---------------------,0,vingle,"serverless,android,java,backend",https://cdn-images-1.medium.com/max/1600/1*-aNvmvIsbRfX292AQZbbMA.png,2018-07-16,0
Improvement feed performance with Texture(AsyncDisplayKit),"…지난 2017년 8월, 약 일년이 넘는 긴 시간동안 진행 해왔던 리뉴얼 작업이 끝이 나고 4.0.0 버젼을 업데이트 하고 난 이후 몇 달간 유저로 부터 받은 피드백입니다.유저들이 경험한 발열과 피드 퍼포먼스 저하 현상의 원인은 다음과 같습니다.위와 같은 문제 해결과 동시에 앞으로 해야할 일도 많고 시간은 부족한 상황에서도 저희는 큰 결심을 하고 Textu...",https://medium.com/vingle-tech-blog/improvement-feed-performance-with-texture-asyncdisplaykit-2ef2ee11f06e?source=collection_archive---------5---------------------,0,vingle,"javascript,swift,ember",https://cdn-images-1.medium.com/max/1600/1*_MTdAna8-d4_DzsV6gfFww.png,2018-02-25,0
