title,content,url,cnt,source,keyword,image,createdAt,priority
프로젝트가 장난이야?!,안녕하세요. 저는 배달의 민족 주문시스템을 개발하고 있는 권용근입니다.(출처 : 타요장난감 타요학교와 꼬마버스타요 버스 친구들:지호토이TV)저는 개발자의 개인 장난(감)인 프로젝트인 토이 프로젝트에 대해서 이야기해보려고 합니다. 저는 웹 개발 입문과 거의 동시에 토이 프로젝트를 시작했고 이 프로젝트들을 통해 많은 성장을 이루었다고 생각하고 있습니다. 그래서...,http://woowabros.github.io/experience/2018/11/12/toy-project.html,0,woowabros,"mysql,android,database,java,javascript,spring,xml,backend",,2018-11-12,0
배달의민족 앱에 적용된 오프라인 모드에 대하여,"안녕하세요. 배민앱개발팀 고명석입니다.현재 배달의민족 앱에 적용되어 있는 “오프라인 모드”라는 기능에 대해서 설명해보려고 합니다.“오프라인 모드” 기능이란 배달의민족 앱을 서버 응답이 없는 상황에서도 사용할 수 있게 만든 기능입니다.Google Map, Youtube 같은 여타 다른 앱에서도 구현되어 있는 기능으로, 일반적으로는 해외에 나가거나 장시간 네트...",http://woowabros.github.io/experience/2018/11/05/about_offline_mode.html,0,woowabros,"react,python,frontend",,2018-11-05,0
신규 포인트 시스템 전환기 #2 - 오픈 준비 단계,이 글은 이전편에서 이어집니다.기존에 프로시저만 수행되던 시스템을 API 기반으로 전환하기 위해서 모든 API는 2개씩 준비해야만 했습니다.이렇게 구성한 이유는 다음과 같습니다.만약 프로시저 랩핑 API가 없다면 다음과 같은 큰 위험이 있습니다.이건 너무나 큰 위험입니다. 그래서 레거시 프로시저를 랩핑한 API가 선 오픈하고 운영 환경에서 충분히 테스트 한...,http://woowabros.github.io/experience/2018/10/15/new_point_story_2.html,0,woowabros,"kotlin,android,java,machinelearning,python,cuda",,2018-10-15,0
신규 포인트 시스템 전환기 #1 - 개발 단계,안녕하세요? 우아한 형제들에서 결제/정산 (+포인트와 비즈머니) 시스템을 개발하고 있는 이동욱입니다.‘사내 블로그에 글을 더 쓸 일이 있을줄이야’ 라는 마음으로 VS Code로 글을 쓰고 있습니다.저는 이번 시간에 올해 4월 중순부터 시작해 7월 말까지 진행된 포인트 시스템을 개편했던 경험을 공유하려고 합니다.기존에는 포인트라는 서비스 자체가 구축되어 있지...,http://woowabros.github.io/experience/2018/10/12/new_point_story_1.html,0,woowabros,"mysql,android,database,java,backend",,2018-10-12,0
Real-time Service Configuration으로 Consul을 신주소 서비스에 적용한 사례,안녕하세요. 배민프론트서버개발팀 박제현입니다.주소 검색 서비스를 개선하면서 Real-time Service Configuration으로 consul을 적용한 사례를 공유하고자 합니다.먼저 제가 속한 팀부터 소개해볼까 합니다.저희 팀에는 고객과 밀접하게 운영되고 있는 서비스가 많다 보니 쉽게 개선하기 어려운 레거시 시스템이 많은데요.맘 같아서는 쉽게 수정해서...,http://woowabros.github.io/tools/2018/10/08/location-service-with-rcs.html,0,woowabros,"android,docker,java",,2018-10-08,0
"새로운 오피스, 작은집","안녕하세요무더운 폭염과 장마가 지나고 난 후 벌써 선선한 바람이 부는 계절 어느덧 가을이 훌쩍 다가왔네요.아침 저녁으로 일교차가 크네요, 여러분들 모두 감기 조심하세요~오늘은 우아한형제들의 새로운 오피스 공간에 대해서 소개해dream~‘사옥을 이동 했나요?’아닙니다~대부분 저희 우아한형제들의 사옥은 ‘몽촌토성역’ 에 있는 사옥을 떠올리시겠지만,새로운 구성원...",http://woowabros.github.io/woowabros/2018/09/18/introduce-small-home.html,0,woowabros,"react,frontend",http://woowabros.github.io/img/2018-09-18/1.jpeg,2018-09-18,0
JDBC로 실행되는 SQL에 자동으로 프로젝트 정보 주석 남기기,이 글은 Java기반에서 JDBC와 이를 기반으로 한 Persistence Framework를 이용해 SQL을 실행할 수 있는 개발자를 대상으로 모든 JDBC를 통해 실행되는 SQL 구문에 애플리케이션 정보를 주석으로 넣는 법을 설명합니다.보통 Monolithic 아키텍처로 프로젝트를 진행하게 되면 모든 데이터를 하나의 데이터베이스에 다 넣는 방식으로 개발...,http://woowabros.github.io/tools/2018/08/16/jdbc-log-sql-projectinfo.html,0,woowabros,"mysql,android,database,java,cuda,javascript,machinelearning,python,spring,php,docker,backend",,2018-08-16,0
나를 술푸게 하는 고민들,"안녕하세요, 배민프론트서버개발팀의 개그 신동이자 귀염둥이 이신은입니다.저는 작년 12월 신입 개발자 공채를 통해, 백엔드 개발자로 우아한형제들에 합류했습니다. 취업준비생에서 7개월 차 삐약삐약 병아리개발자가 된 지금까지, 지난 1년을 돌아보며 제가 했던 고민을 나누고자 합니다. 한글보다는 수식이나 JAVA 언어로 표현하는 것이 더 편한 수학전공 개발자이지만...",http://woowabros.github.io/woowabros/2018/08/05/my_worry.html,0,woowabros,"ruby,android,react,tensorflow,python,machinelearning,frontend",http://woowabros.github.io/img/2018-08-05/baemin_screenshot.png,2018-08-05,0
파이썬으로 Linear Regression 해보기,"안녕하세요.우아한형제들 데이터서비스팀에서 섹시미 막내를 맡고 있는 김세환입니다.데이터를 보다보면 예측모델을 만들게 되는 경우가 많은데요,  대부분의 경우 모델을 만들기 위한 함수들이 라이브러리 형태로 구현이 되어있다보니, 이런 라이브러리를 가져다 쓰는 것이 일반적입니다. 이 때문에 모델을 만드는 데 있어 그 내용은 놓치고 지나가기 쉽습니다.이 포스트에서는 ...",http://woowabros.github.io/study/2018/08/01/linear_regression_qr.html,0,woowabros,,http://woowabros.github.io/img/2018-08-01/scatter.png,2018-08-01,0
우아한 개발자 경력 공채,"우아한형제들/우아한신선들에서 개발자 경력 공채를 진행합니다.많은 회사들과 마찬가지로, 우아한형제들에서도 개발자 분들을 열심히 채용하고 있습니다. 많은 좋은 분들이 함께 해 주고 계시지만, 사업과 서비스의 성장 속도가 더 빨라지고 있어서(2018년에도 성장 속도는 줄어들지 않고 더 빨라지고 있네요) 더 많은 분들이 필요한 상황입니다.최근에는 우아한테크캠프 2...",http://woowabros.github.io/woowabros/2018/07/02/woowahan_open_recruitment.html,0,woowabros,,,2018-07-02,0
AWS에서 서버(EC2) 패킷 미러링 하기,"Public cloud의 문제점중 하나는, 가시성 확보가 어렵다 이다. 보안을 위해서 여러 Layer의 가시성 확보가 필요한대, 특히 Network 트래픽 데이터에 대해서는 필수이다. on-premise 환경에서는 TAP hardware 장비등을 이용하여 가시성 확보가 가능 했지만, Public cloud에서는 hardware를 사용할 수 없기때문에 다른 ...",http://woowabros.github.io/security/2018/06/29/aws-network-mirror.html,0,woowabros,android,http://woowabros.github.io/img/2018-06-29/diagram.png,2018-06-29,0
라이더스 개발팀 모바일에서 CI/CD 도입,이 글은 CI/CD를 안드로이드에 도입하게 되면서 정리한 내용입니다.   구축 및 운영하고자 하시는 분에게 경험을 공유하고자 합니다.안녕하세요 라이더스 개발팀 장인수 입니다.우선 라이더스 개발팀이 하는 일을 소개 합니다. 저희 라이더스 개발팀은 배달되지 않는 음식점의 음식을 민트색 헬멧을 쓴 라이더 분들이 오토바이를 이용하여 음식을 픽업 후 고객님에게 배달...,http://woowabros.github.io/experience/2018/06/26/bros-cicd.html,0,woowabros,"ruby,android,java,bootstrap,frontend,docker",http://woowabros.github.io/img/2018-06-26/pic01.png,2018-06-26,0
우아한테크캠프를 통해 내가 얻은 것들,"안녕하세요! 작년 12월에 우아한형제들에 입사한 신입 개발자 배민프론트개발팀의 박예준입니다!딱 작년 이맘때에 즈음 우아한테크캠프 지원서를 작성하고 있었는데, 이렇게 기술 블로그에 글을 남기려니 기분이 이상하네요.2018우아한테크캠프를 앞두고 있습니다.  앞서 우아한테크캠프 참가자에서 우아한개발자가 되기까지 를 작성하신 전한나님과 함께 작년 우아한테크캠프 참...",http://woowabros.github.io/experience/2018/06/11/frrom_woowahna_techcamp.html,0,woowabros,"css,javascript,python,html,frontend",,2018-06-11,0
배민찬은 Vue를 어떻게 사용하나요?,"이 글은 제이쿼리, PHP 기반의 쇼핑몰 서비스에 Vue를 도입한 사례를 정리한 내용입니다. 서비스에 Vue 도입을 고민 중이신 분들을 위해 경험기를 공유합니다.배민찬은 푸드 커머스 사업에 혁신을 만들어가는 스타트업 서비스다. 우리 개발팀은 솔루션 기반의 커스터마이징된 쇼핑몰을 시작으로 올해 3년 이상 레거시 코드와 분투 중이다.팀내 프론트엔드 개발자로서 ...",http://woowabros.github.io/experience/2018/06/07/vue-story-of-baminchan.html,0,woowabros,"mysql,webpack,database,angular,javascript,react,frontend,backend",http://woowabros.github.io/img/2018-06-05/mobile-and-desktop.png,2018-06-07,0
장애와 관련된 XtraBackup 적용기,안녕하세요. 우아한형제들에서 빌링시스템을 개발하고 있는 이주현입니다.입사한 이래로 2년 가까이 일하며 정말 다양한 문제를 마주하고 해결하며 소중한 경험을 쌓고 있습니다. 그중 얼마 전 MariaDB 백업 방식으로 적용한 XtraBackup에 대하여 이야기해보려고 합니다.  그전에 잠시 2016년으로 돌아가 보겠습니다.개발자가 언제 죽는다고 생각하나?  총알...,http://woowabros.github.io/experience/2018/05/28/billingjul.html,0,woowabros,"mysql,android,css,database,java,python,frontend,php,docker,backend",,2018-05-28,0
주소검색서버(woowahan-juso) 개발기(上),안녕하세요 라이더스개발팀 정세빈 입니다 :)BROS(Baemin Riders Operating System)에 주소검색을 위한 주소검색서버 개발 및 배포 경험을 공유 드리려고 합니다.BROS는 배민라이더스의 주문 건을 배달하기 위한 라이더 운영 시스템입니다.라이더 분들이 배달할 때 픽업지 혹은 배달지의 위치가 굉장히 중요합니다. 해당 위치의 변경 및 확인을...,http://woowabros.github.io/experience/2018/05/26/woowahan-juso.html,0,woowabros,"mysql,android,database,java,backend",http://woowabros.github.io/img/2018-05-26/juso_change.png,2018-05-26,0
Google I/O 2018 에 다녀오다!,"안녕하세요. 배민서비스개발실 배민프론트개발팀에서 산업기능요원으로 iOS 개발을 하고 있는 강경완입니다.우아한형제들에서는 iOS 개발을 하고 있지만, GDG (Google Developer Groups) Korea Android 커뮤니티의 오거나이저로 활동하고 있어서 Google I/O 2018에 참여했습니다.먼 나라 미국까지 날아가서 2박 3일동안 전 세계...",http://woowabros.github.io/experience/2018/05/23/google-io.html,0,woowabros,python,http://woowabros.github.io/img/2018-05-23/army.jpeg,2018-05-23,0
라이더스앱(iOS) 개발기,안녕하세요 라이더스개발팀 박민 입니다. 배민라이더스의 라이더분들이 배달을 수행하기 위해 사용되는 애플리케이션 ‘라이더스’ 개발기를 적어보려 합니다.먼저 BROS(Baemin Riders Operating System)가 있습니다. (네! Geo-fence를 신선하고 유익하게 설명해주신 민철님의 글에서도 등장합니다.) 라이더스는 BROS에서 발생하는 배달을 ...,http://woowabros.github.io/experience/2018/05/19/build-app-by-react-native.html,0,woowabros,"vue,angular,react,javascript,objective-c,frontend,reactjs",http://woowabros.github.io/img/2018-05-19/bridge.png,2018-05-19,0
"결제 시스템 성능, 부하, 스트레스 테스트","안녕하세요. 우아한형제들에서 결제시스템을 개발하고 있는 권용근입니다. 입사한 지 4개월 만에, 드디어 우아한형제들 기술 블로그에 글을 남기게 되어 감회가 새롭습니다.저는 최근 결제 시스템의 개비를 진행하며 경험한 성능, 부하, 스트레스 테스트 경험을 작성해보려고 합니다.입사하고 보니 저에게는 결제 API 단순화, 결제 시스템 데이터베이스 분리 및 파티션 도...",http://woowabros.github.io/experience/2018/05/08/billing-performance_test_experience.html,0,woowabros,"mysql,vue,android,database,angular,java,react,javascript,frontend,backend",,2018-05-08,0
우아한테크캠프 참가자에서 우아한개발자가 되기까지,"2017 우아한테크캠프 참가자에서 우아한형제들에 입사하기까지의 경험을 공유합니다.안녕하세요, 2017년 12월 22일 입사 한 따끈따끈한 신입 개발자 배민플랫폼개발실 주문중계팀 전한나입니다.2017 우아한테크캠프를 준비하면서 기술 블로그를 읽고 참고했던게 벌써 1년의 시간이 흘렀습니다.2018 우아한테크캠프 모집기간입니다.제 경험이 우아한테크캠프를 준비하시...",http://woowabros.github.io/woowabros/2018/05/01/from_woowahan_techcamp_to_woowahan_developer_hanna.html,0,woowabros,,,2018-05-01,0
우아한개발자가 되기 위한 우아한테크캠프,"우아한(Woowa) 개발자가 되고 싶은 이들을 위한 우아한테크캠프 2기를 소개합니다.우아한테크캠프는 대학생들의 여름 방학 기간에 맞춰서 2017년에 진행했던 교육형 인턴 과정입니다. 한 달은 정해진 커리큘럼에 따라 개발 관련 지식을 익히고, 그 다음 달은 조를 짜서 프로젝트를 진행하면서 실제 서비스를 만들면서 필요한 개발 지식을 익히는 과정을 수행하는 프로...",http://woowabros.github.io/woowabros/2018/04/22/do_you_wanna_be_a_woowa_developer.html,0,woowabros,,,2018-04-22,0
"Java, max user processes, open files","안녕하세요? 우아한 형제들에서 결제/정산 시스템을 개발하고 있는 이동욱입니다.올해 사내 블로그 포스팅 주제로 Linux의 open files, max user processes 설정에 대해 정리하게 되었습니다.계기는 단순했습니다. 팀에서 서버 작업하던 중 쓰레드와 관련해서 문제가 발생했는데요. 제가 진행하던 일이 아니라서 옆에서 해결하는 과정을 지켜봤습니다...",http://woowabros.github.io/experience/2018/04/17/linux-maxuserprocess-openfiles.html,0,woowabros,python,,2018-04-17,0
우아한형제들의 Developer Relations,"투자가를 대상으로 한 IR(Investor Relations) 이야기가 아닌,  개발자를 대상으로 한 DR(Developer Relations) 이야기.Developer Relations라는 말은 다소 생소합니다.IR(Investor Relations)은 많이 들어보셨을 텐데요. IR은 투자자들을 대상으로 기업 설명 및 홍보 활동을 하여 투자 유치를 원활하...",http://woowabros.github.io/woowabros/2018/04/15/developer-relations.html,0,woowabros,,,2018-04-15,0
"Hello, Geo-fence!","안녕하세요 라이더스개발팀 박민철 입니다. BROS(Baemin Riders Operating System)에 Geo-fence를 도입한 경험을 적어보겠습니다. (BROS는 라이더를 배차하고 음식을 픽업하여 고객에게 전달하는 서비스를 지원하는 배달 플랫폼 입니다.)‘geo-fencing’ 으로 불리기도 하는데, 지도위에 가상의 도형들의 영역을 말합니다. [이...",http://woowabros.github.io/experience/2018/03/31/hello-geofence.html,0,woowabros,android,http://woowabros.github.io/img/2018-03-31/geo-fence-intro.png,2018-03-31,0
신입개발자 교육 후기,"작년 12월 말에 입사한 후 1월부터 9주 동안 진행된 신입 개발자 교육을 마쳤습니다!교육이 어떤 식으로 진행되었는지, 무엇을 배웠는지 짧게나마 공유해드리고자 합니다.크게 위 과정으로 진행되었는데, 모든 과정은 페어 프로그래밍(짝 프로그래밍)으로 진행되었습니다.교육받기 전까지 혼자 결정하고 혼자 코딩하던 저에겐 적응하기 힘든 방식이었지만, 교육 후반쯤 되었...",http://woowabros.github.io/woowabros/2018/03/25/newbie-education.html,0,woowabros,"mysql,android,database,java,json,react,javascript,frontend,backend",,2018-03-25,0
Hybrid-Cloud 환경에서 보안인증 준비 하기,지난 2월 오석윤님이 포스팅해주신  [AWS에서 네트워크 공격 자동차단하기]의 Summary에서 내용을 일부 가져오고자 합니다.“Public Cloud 환경에서의 서비스 운영은 Legacy 환경의 IDC 서비스 운영과는 너무도 다르기 때문에 보안이 쉽지 않다.”.  특히나 국내 실정에 맞추어 만들어진 ISMS 인증 표준 또한 Cloud 서비스에 맞추기 위해...,http://woowabros.github.io/security/2018/03/20/isms-certification.html,0,woowabros,,http://woowabros.github.io/img/2018-03-20/a001.png,2018-03-20,0
SIL(Swift Intermediate Language)을 통한 Swift debugging,"몇일 전 그렇게 멀지않은 방이동, 경복궁 건물 6층 배민찬 개발팀에서,제너릭을 가지는 구조체에 반환값이 있는 readonly 프로퍼티를 선언한 스위프트 개발자 A는 구조체를 확장하며 지난 선언을 잊고 프로퍼티를 중복해서 선언한 후, Xcode에 숨겨진 무서운 비밀을 만나는데…Xcode 사용자 분들은  An internal error occured. Sour...",http://woowabros.github.io/swift/2018/03/18/swift-debugging-with-SIL.html,0,woowabros,objective-c,,2018-03-18,0
"[번역] SIL(Swift Intermediate Language), 일단 시작해보기까지","원문 Swift中間言語の、ひとまず入り口手前まで이 글은 훌륭한 Swift, iOS 개발자이자 교육자인 Tomohiro Kumagai씨가 qiita에 올리신 글을 허가를 얻어 배포합니다.*(주) 내용은 최대한 정확하게 번역하려 했지만, 문장은 초벌 번역에서 겨우 벗어난 수준입니다. 시간 날 때마다 개선할 예정입니다.올해(2016년 글임)의 WWDC를 방문했을 ...",http://woowabros.github.io/swift/2018/03/18/translation-SIL-for-the-moment-before-entry.html,0,woowabros,"ruby,swift,android,css,react,javascript,objective-c,python,frontend,php,docker",,2018-03-18,0
