title,content,url,cnt,source,keyword,image,createdAt
Windows 10 October 2018 Update: Key enterprise features,"The latest version of Windows 10 has many monikers. Its version number is 1809, its code name was Redstone 5, and its official name, announced by Microsoft at IFA Berlin, is the Windows 10 October 2018 Update.Windows 10 April 2018 UpdateWindows 10 Fall Creators Update (October 2018)To read this article in full, please click here(Insider Story)",https://www.computerworld.com/article/3210805/microsoft-windows/windows-10-october-2018-update-key-enterprise-features.html#tk.rss_all,0,computerworld,"xml,frontend,java,backend,typescript,angular",NULL,2018-11-13
Review: Windows 10 October 2018 Update delivers modest but useful tweaks," The big twice-a-year Windows 10 update is here ... except this time, it’s not so big. The Windows 10 October 2018 Update, a.k.a. version 1809, is perhaps the least impressive of the major updates since Windows 10 was introduced. It sports no big, new capabilities like Timeline, the flagship feature of the Windows 10 April 2018 Update. Still, it’s got some good sleeper features, a hidden gem or two, a few bombs, and a host of useful if not groundbreaking features.The release will be rolled out to Windows 10 users in phases, so it might be some time before you see it arrive on your computer. In fact, the rollout was scheduled to begin on October 9, but after some users who upgraded to version 1809 reported problems including the loss of all files in their Documents, Pictures, Music, and Videos folders, Microsoft paused the rollout. After more than a month's delay, the company finally resumed pushing out the release on November 13. If you want to delay the update even longer and then install it on your own schedule, here's how to block it temporarily.To read this article in full, please click here",https://www.computerworld.com/article/3307851/microsoft-windows/review-windows-10-october-2018-update-delivers-modest-but-useful-tweaks.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
Get Over 45 Hours Of Immersive Ethical Hacking Training For $25 (90% Off)," Your private data can reveal a lot about you, such as bank information, spending habits, and even the websites you frequent. This makes large companies like Facebook and Yahoo prime targets for data breaches because of their vast library of user data. Nowadays, it’s more important than ever for companies to remain vigilant against hackers, lest their customers’ privacy and trust be lost.To defend against such threats, companies hire security professionals who know how to identify and exploit vulnerabilities in security systems. These “ethical hackers” employ the same methods malicious hackers do, but they also patch and report these vulnerabilities to their employers to prevent future intrusions. With data breaches on the rise, the demand for ethical hackers has increased, making this career path both stable and profitable. If you’re interested in learning how to hack security systems (legally, of course) then this $39 Ethical Hacking A to Z Training Bundle is for you.To read this article in full, please click here",https://www.computerworld.com/article/3320620/security/get-over-45-hours-of-immersive-ethical-hacking-training-for-25-90-off.html#tk.rss_all,0,computerworld,"python,bootstrap,javascript,frontend,swift",NULL,2018-11-13
"Microsoft takes second swing at Windows 10 1809, re-issues troubled upgrade"," After a 38-day delay, Microsoft today re-released its fall operating system feature upgrade, the Windows 10 October 2018 Update.The more-than-a-month delay had no precedent in Windows 10, something Microsoft acknowledged. And it lasted significantly longer than instances in earlier editions when updates, security fixes for the most part, had to be pulled and then later re-released.[ Further reading: How to handle Windows 10 updates ] ""Based on (telemetry) data, today we are beginning the re-release of the October Update by making it available via media and to advanced users who seek to manually check for updates,"" John Cable, director of program management in the Windows servicing and delivery team, wrote in a post to a company blog.To read this article in full, please click here",https://www.computerworld.com/article/3321136/microsoft-windows/microsoft-takes-second-swing-at-windows-10-1809-re-issues-troubled-upgrade.html#tk.rss_all,0,computerworld,java,NULL,2018-11-13
How to check the condition of your Mac’s battery," A friend of mine was considering purchasing an old(ish) MacBook Pro and wanted to check the battery life as they arranged the deal.That’s when I thought it might be worth sharing this little tip, given lots of people will be selling Macs to get hold of a new MacBook Air.Battery cycles for battery health That’s when I remembered this little-known, but really quite useful (and mercifully short), Mac tip that helps you get some kind of insight into your Mac’s battery health.[ Related: Apple's place is in the enterprise ] The batteries used inside Macs are built to handle a number of battery cycles.To read this article in full, please click here",https://www.computerworld.com/article/3321001/apple-mac/how-to-check-the-condition-of-your-mac-s-battery.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
Windows 10: A guide to the updates," The launch of a big Windows 10 update like the October 2018 Update isn’t the end of a process — it’s really just the beginning. As soon as a major update is released, Microsoft quickly gets to work on improving it by fixing bugs, releasing security patches, and occasionally adding new features.Here we’ve summarized what you need to know about every Windows 10 update being released to the public. First come updates to the currently shipping version of Windows 10 — version 1809, known as the October 2018 Update — with the most recent updates on top. (Note that the October 2018 Update is on a phased rollout, so you may not have received it yet.) Below that are updates to version 1803, known as the April 2018 Update; 1709, known as the Fall Creators Update; and finally updates to version 1703, known as the Creators Update. For each build, we’ve included the date of its initial release and a link to Microsoft’s announcement about it.To read this article in full, please click here",https://www.computerworld.com/article/3199077/microsoft-windows/windows-10-a-guide-to-the-updates.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
Windows 10 version 1809 re-released. Pro tip: Wait.," It’s been an interesting morning, in an ancient Chinese curse kind of way. First we saw an official announcement that Windows Server 2019 was released. (Server 2019 is based on the Win10 1809 platform.) Only one problem: The bits weren’t available as advertised, and then the page was pulled.[ Related: Windows 10 October 2018 Update: Key enterprise features ] Then came an announcement that Microsoft is re-releasing Win10 version 1809 today. The bits finally arrived, sooner or later, accompanied by a lengthy explanation from Microsoft Vice President Michael Fortin of the burdens Microsoft encounters servicing a $10-billion-plus user base:To read this article in full, please click here",https://www.computerworld.com/article/3320938/microsoft-windows/windows-10-version-1809-re-released-pro-tip-wait.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
"Get 90% Off Your First Year of RemotePC, Up To 50 Computers for $6.95"," iDrive has activated a significant discount on their Remote access software RemotePC in these days leading into Black Friday. RemotePC by iDrive is a full-featured remote access solution that lets you connect to your work, home or office computer securely from anywhere, and from any iOS or Android device. Right now, their 50 computer package is 90% off or just $6.95 for your 1st year. If you've been thinking about remote access solutions, now is a good time to consider RemotePC. Learn more about it here.To read this article in full, please click here",https://www.computerworld.com/article/3307866/remote-access/get-90-off-your-first-year-of-remotepc-up-to-50-computers-for-695.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
Pixel 3 vs. Pixel 2: Why smaller bezels aren't that big a deal," When you hear people talk about Google's Pixel 3 and whether it's worth the upgrade over the previous-gen Pixel 2, one consistent theme always comes up: If there's any reason to make the upgrade, it's for the smaller bezels and bigger screen.What folks are getting at, y'see, is the fact that the Pixel 3 packs more active display space into the same basic footprint as last year's model — which, on the surface, sure seems like a good thing. And it is a good thing! I mean, why wouldn't you want more screen space in the same sized phone, right?To read this article in full, please click here",https://www.computerworld.com/article/3320576/android/pixel-3-vs-pixel-2.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
"HP Offering $330 off Pavilion 15z 15.6"" Touchscreen Laptop Right Now ($370)"," You don't have to wait for Black Friday. Deals have started to drop early, but you have to know where to look. HP has activated a whopping $330 discount on its Pavilion 15z 15.6"" Touchscreen Laptop, which puts it at just $369.99 with Free Shipping, but the deal ends Wednesday 11/14. This laptop comes with Windows 10 Home 64, the AMD Ryzen™ 3 processor, AMD Radeon™ Vega 3 Graphics, 8 GB memory, 1 TB HDD storage, and a 15.6"" diagonal HD touch display. See the full spec, customize, and/or buy it here while the deal is active. If you haven't seen it yet, HP has posted a Black Friday deals page right here that includes a few other early deals you may be interested in.To read this article in full, please click here",https://www.computerworld.com/article/3320862/hardware/hp-offering-330-off-pavilion-15z-156-touchscreen-laptop-right-now-370.html#tk.rss_all,0,computerworld,,NULL,2018-11-13
